,Steps,Calories,Active Minutes,Date
821,14558,1668,44,2025-07-19
822,5973,1604,42,2025-07-20
823,13738,2315,117,2025-07-21
824,14170,2068,104,2025-07-22
825,7640,1603,106,2025-07-23
826,11638,2492,73,2025-07-24
827,12992,2487,109,2025-07-25
828,12094,2028,57,2025-07-26
829,7497,1504,95,2025-07-27
830,5460,1572,92,2025-07-28
831,13837,2198,76,2025-07-29
832,9086,2373,86,2025-07-30
833,6195,1579,82,2025-07-31
834,12809,1641,64,2025-08-01
835,13177,2096,98,2025-08-02
836,9751,2102,99,2025-08-03
837,7703,2488,84,2025-08-04
838,13579,1919,53,2025-08-05
839,9166,2161,38,2025-08-06
840,13072,2091,72,2025-08-07
841,6287,2447,109,2025-08-08
842,10617,2082,87,2025-08-09
843,6487,2052,51,2025-08-10
844,9623,1797,38,2025-08-11
845,14881,2060,47,2025-08-12
846,13005,1875,52,2025-08-13
847,14707,2387,63,2025-08-14
848,9270,2045,92,2025-08-15
849,8129,1677,73,2025-08-16
850,7829,2235,73,2025-08-17
851,5383,2296,43,2025-08-18
852,10097,2111,36,2025-08-19
853,6351,2373,81,2025-08-20
854,12606,2044,59,2025-08-21
855,6347,1500,92,2025-08-22
856,11491,2447,57,2025-08-23
857,10742,1848,35,2025-08-24
858,14818,1876,82,2025-08-25
859,13745,1769,92,2025-08-26
860,14798,2152,30,2025-08-27
861,10982,2487,115,2025-08-28
862,13386,2490,102,2025-08-29
863,11431,2126,39,2025-08-30
864,12660,2192,116,2025-08-31
865,12238,1726,54,2025-09-01
866,10375,2450,56,2025-09-02
867,6117,1991,117,2025-09-03
868,10664,2057,38,2025-09-04
869,5305,2364,97,2025-09-05
870,11548,2193,77,2025-09-06
871,5389,2004,106,2025-09-07
872,11317,2243,98,2025-09-08
873,12858,1742,109,2025-09-09
874,8835,2306,72,2025-09-10
875,6599,1614,117,2025-09-11
876,5425,2486,85,2025-09-12
877,9634,1674,105,2025-09-13
878,11534,1817,118,2025-09-14
879,10723,2326,33,2025-09-15
880,14182,1662,42,2025-09-16
881,10372,1704,53,2025-09-17
882,6498,2465,92,2025-09-18
883,6382,1757,48,2025-09-19
884,10850,2435,74,2025-09-20
885,5118,2447,72,2025-09-21
886,8577,2392,36,2025-09-22
887,9814,2185,93,2025-09-23
888,7499,2210,30,2025-09-24
889,9549,1868,108,2025-09-25
890,12339,1681,102,2025-09-26
891,8834,2179,104,2025-09-27
892,10435,2204,37,2025-09-28
893,7105,2049,106,2025-09-29
894,7802,1612,112,2025-09-30
895,7655,1995,47,2025-10-01
896,14530,1606,51,2025-10-02
897,9042,2143,71,2025-10-03
898,14072,1751,79,2025-10-04
899,13466,1867,58,2025-10-05
900,5454,2283,63,2025-10-06
901,13663,1882,61,2025-10-07
902,14050,1692,81,2025-10-08
903,11187,1627,110,2025-10-09
904,9547,1687,86,2025-10-10
905,8551,1754,116,2025-10-11
906,7702,2208,34,2025-10-12
907,6309,2195,76,2025-10-13
908,14979,1793,119,2025-10-14
909,6370,1552,57,2025-10-15
910,8256,2079,63,2025-10-16
911,10390,2212,96,2025-10-17
912,8518,1894,69,2025-10-18
913,6742,1951,101,2025-10-19
914,7886,2004,75,2025-10-20
915,8362,2336,56,2025-10-21
916,5011,1534,74,2025-10-22
917,8573,1708,95,2025-10-23
918,6171,2164,94,2025-10-24
919,10257,2269,110,2025-10-25
920,12085,2149,83,2025-10-26
921,7077,1651,84,2025-10-27
922,10422,1585,70,2025-10-28
923,13413,2386,68,2025-10-29
924,7606,1901,59,2025-10-30
925,14395,1858,60,2025-10-31
926,13764,1672,89,2025-11-01
927,9613,1506,96,2025-11-02
928,13039,1715,59,2025-11-03
929,9400,2156,109,2025-11-04
930,12846,2228,36,2025-11-05
931,8976,1989,89,2025-11-06
932,8421,1595,102,2025-11-07
933,11098,2424,95,2025-11-08
934,9883,2411,60,2025-11-09
935,10090,1758,83,2025-11-10
936,8961,1653,87,2025-11-11
937,7077,2133,85,2025-11-12
938,12138,2070,65,2025-11-13
939,13931,1991,92,2025-11-14
940,13677,1693,48,2025-11-15
941,12620,1856,110,2025-11-16
942,7017,1621,116,2025-11-17
943,12074,2099,110,2025-11-18
944,9743,2388,34,2025-11-19
945,11839,2189,98,2025-11-20
946,6459,2118,38,2025-11-21
947,11506,1795,103,2025-11-22
948,10628,2222,60,2025-11-23
949,12495,2163,32,2025-11-24
950,7769,1861,101,2025-11-25
951,8684,1655,69,2025-11-26
952,10973,1594,31,2025-11-27
953,11874,2337,92,2025-11-28
954,9578,2419,39,2025-11-29
955,12099,2332,82,2025-11-30
956,13610,2016,59,2025-12-01
957,13889,2383,113,2025-12-02
958,10870,2202,66,2025-12-03
959,6056,2293,68,2025-12-04
960,9033,2095,79,2025-12-05
961,8843,2247,64,2025-12-06
962,10349,2037,87,2025-12-07
963,11072,1513,78,2025-12-08
964,9817,2147,95,2025-12-09
965,7718,1544,116,2025-12-10
966,11561,1539,119,2025-12-11
967,8283,2163,59,2025-12-12
968,11387,2014,115,2025-12-13
969,6857,1710,94,2025-12-14
970,8942,2323,88,2025-12-15
971,5576,1882,101,2025-12-16
972,6271,1529,54,2025-12-17
973,5818,1603,40,2025-12-18
974,5918,1522,66,2025-12-19
975,12033,1802,53,2025-12-20
976,8140,2291,47,2025-12-21
977,7461,1831,98,2025-12-22
978,8200,1623,97,2025-12-23
979,11978,2202,58,2025-12-24
980,14718,2128,45,2025-12-25
981,12124,1656,109,2025-12-26
982,11727,2092,85,2025-12-27
983,14126,1928,101,2025-12-28
984,7344,2339,60,2025-12-29
985,6600,1749,34,2025-12-30
986,12831,1818,77,2025-12-31
987,14337,1965,103,2026-01-01
988,6907,1550,72,2026-01-02
989,8867,2342,64,2026-01-03
990,11067,2177,101,2026-01-04
991,9267,1755,115,2026-01-05
992,11896,2164,57,2026-01-06
993,7164,1925,63,2026-01-07
994,5821,1542,42,2026-01-08
995,9791,2347,108,2026-01-09
996,6234,1875,37,2026-01-10
997,8595,2394,46,2026-01-11
998,13836,2444,77,2026-01-12
999,8128,2080,31,2026-01-13
