Date,State,Goods_Exports,Goods_Imports,Services_Exports,Services_Imports,Total_exports,Total_imports,Two_way_trade
1/8/2019,California,18.55,0.16,2.12,1.70,20.67,1.86,22.53
1/9/2019,California,5.36,0.58,1.66,0.76,7.02,1.34,8.36
1/10/2019,California,3.51,0.00,0.12,0.00,3.64,0.00,3.64
1/11/2019,California,4.22,0.00,0.07,0.00,4.29,0.00,4.29
1/12/2019,California,0.39,0.02,0.02,0.00,0.41,0.02,0.43
1/13/2019,California,0.00,0.01,0.00,0.00,0.00,0.01,0.01
1/14/2019,California,7.58,3.99,1.13,0.71,8.71,4.71,13.41
1/15/2019,California,73.18,1.28,1.04,1.44,74.22,2.72,76.93
1/16/2019,California,15.80,0.02,0.26,1.38,16.06,1.40,17.46
1/17/2019,California,0.31,0.78,0.35,0.37,0.66,1.16,1.81
1/18/2019,California,297.80,248.25,19.76,16.11,317.56,264.36,581.92
1/19/2019,California,911.43,1943.10,161.63,168.17,1073.05,2111.27,3184.32
1/20/2019,California,9.30,1.30,0.31,0.28,9.60,1.58,11.18
1/21/2019,California,0.46,0.07,0.36,0.74,0.82,0.80,1.63
1/22/2019,California,169.89,1.61,53.78,23.09,223.67,24.70,248.37
1/23/2019,California,0.17,2.27,0.32,0.09,0.49,2.35,2.85
1/24/2019,California,14.69,0.02,1.74,9.80,16.43,9.82,26.24
1/25/2019,California,311.61,98.95,0.67,0.67,312.28,99.62,411.90
1/26/2019,California,32.62,0.76,0.10,0.09,32.71,0.85,33.57
1/27/2019,California,606.08,447.08,112.42,187.22,718.50,634.30,1352.81
1/28/2019,California,38.56,42.20,28.00,4.85,66.56,47.05,113.60
1/29/2019,California,6.34,0.61,7.65,4.19,14.00,4.80,18.80
1/30/2019,California,2.38,16.72,0.67,0.98,3.05,17.70,20.75
1/31/2019,California,0.00,201.36,0.00,0.00,0.00,201.36,201.36
2/1/2019,California,86.11,378.07,9.62,1.52,95.74,379.59,475.32
2/2/2019,California,28.51,0.16,1.09,0.39,29.60,0.55,30.15
2/3/2019,California,107.57,29.06,3.11,3.51,110.69,32.57,143.26
2/4/2019,California,182.45,2.68,60.15,23.73,242.60,26.41,269.01
2/5/2019,California,236.11,10.10,58.71,26.44,294.82,36.54,331.36
2/6/2019,California,754.16,128.63,86.01,88.06,840.17,216.69,1056.87
2/7/2019,California,75.88,55.53,5.89,7.12,81.78,62.65,144.43
2/8/2019,California,21.01,77.89,10.48,5.63,31.49,83.52,115.02
2/9/2019,California,0.00,0.00,0.05,0.00,0.05,0.00,0.05
2/10/2019,California,0.55,0.02,0.15,0.10,0.70,0.12,0.81
2/11/2019,California,1.86,18.55,0.26,0.09,2.12,18.64,20.76
2/12/2019,California,26.32,22.09,3.15,2.39,29.46,24.48,53.95
2/13/2019,California,0.26,0.00,0.43,0.14,0.68,0.14,0.82
2/14/2019,California,0.75,0.63,0.11,0.05,0.85,0.68,1.53
2/15/2019,California,23.04,581.13,6.16,2.06,29.20,583.19,612.39
2/16/2019,California,10.63,0.10,0.35,0.22,10.98,0.32,11.30
2/17/2019,California,3.87,10.91,8.42,3.24,12.29,14.14,26.43
2/18/2019,California,0.15,0.81,0.00,0.00,0.15,0.81,0.96
2/19/2019,California,229.63,562.98,44.73,9.89,274.35,572.87,847.22
2/20/2019,California,0.04,0.06,0.54,0.54,0.58,0.60,1.19
2/21/2019,California,545.64,889.99,127.53,13.11,673.16,903.10,1576.26
2/22/2019,California,26.61,6.53,11.58,9.85,38.19,16.37,54.56
2/23/2019,California,2.48,0.00,0.08,0.18,2.55,0.18,2.74
2/24/2019,California,81.21,0.14,0.64,0.33,81.85,0.47,82.32
2/25/2019,California,64.69,306.59,38.39,6.69,103.08,313.27,416.36
2/26/2019,California,1021.16,1939.34,326.14,1028.21,1347.30,2967.55,4314.85
2/27/2019,California,0.17,0.06,0.04,0.00,0.20,0.06,0.26
2/28/2019,California,4.96,10.73,2.26,1.18,7.22,11.91,19.13
3/1/2019,California,0.31,40.72,3.32,0.78,3.63,41.50,45.12
3/2/2019,California,2.41,0.78,0.19,0.05,2.59,0.83,3.43
3/3/2019,Texas,0.00,0.30,0.00,0.01,0.00,0.30,0.30
3/4/2019,Texas,8.93,0.95,0.33,0.01,9.26,0.96,10.21
3/5/2019,Texas,0.18,0.02,0.15,0.04,0.33,0.06,0.40
3/6/2019,Texas,0.05,0.10,0.85,0.10,0.90,0.20,1.10
3/7/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
3/8/2019,Texas,0.00,0.01,0.00,0.00,0.00,0.01,0.01
3/9/2019,Texas,5.12,2.12,0.04,0.10,5.16,2.21,7.38
3/10/2019,Texas,0.00,0.00,0.00,0.09,0.00,0.09,0.09
3/11/2019,Texas,4.00,0.04,12.49,10.12,16.49,10.16,26.65
3/12/2019,Texas,0.00,0.06,2.15,0.13,2.15,0.20,2.35
3/13/2019,Texas,0.16,0.00,0.21,1.42,0.38,1.42,1.80
3/14/2019,Texas,0.27,0.00,0.04,0.05,0.30,0.05,0.35
3/15/2019,Texas,0.00,0.00,0.00,0.03,0.00,0.03,0.03
3/16/2019,Texas,0.41,9.40,0.00,0.04,0.42,9.44,9.86
3/17/2019,Texas,702.65,1581.87,150.72,239.85,853.38,1821.72,2675.10
3/18/2019,Texas,0.87,0.00,0.04,0.00,0.90,0.00,0.90
3/19/2019,Texas,0.53,0.36,0.61,0.63,1.14,0.99,2.12
3/20/2019,Texas,0.88,0.44,0.84,3.63,1.72,4.07,5.79
3/21/2019,Texas,0.21,0.00,0.00,0.00,0.21,0.00,0.21
3/22/2019,Texas,4.72,4.77,0.14,0.09,4.85,4.86,9.71
3/23/2019,Texas,51.23,2.90,54.65,49.89,105.88,52.79,158.67
3/24/2019,Texas,111.00,119.40,3.78,10.88,114.78,130.28,245.06
3/25/2019,Texas,54.37,0.45,1.06,0.70,55.43,1.14,56.57
3/26/2019,Texas,2.10,0.03,2.89,0.26,4.99,0.28,5.27
3/27/2019,Texas,882.96,747.06,108.86,36.61,991.82,783.67,1775.49
3/28/2019,Texas,4.72,8.03,0.78,1.80,5.51,9.83,15.33
3/29/2019,Texas,61.06,21.34,6.95,1.91,68.01,23.25,91.25
3/30/2019,Texas,1.60,0.37,0.41,0.70,2.02,1.07,3.09
3/31/2019,Texas,0.00,0.02,0.99,0.94,0.99,0.96,1.95
4/1/2019,Texas,4071.40,4252.66,2336.07,1921.06,6407.47,6173.72,12581.18
4/2/2019,Texas,15.21,5.98,2.61,0.97,17.82,6.96,24.78
4/3/2019,Texas,5.75,0.01,0.07,0.35,5.82,0.36,6.18
4/4/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/5/2019,Texas,1.28,0.00,0.00,0.00,1.28,0.00,1.28
4/6/2019,Texas,405.78,1.33,1.02,3.08,406.80,4.42,411.22
4/7/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/8/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/9/2019,Texas,481.40,445.42,78.10,36.94,559.50,482.36,1041.86
4/10/2019,Texas,36.85,1.33,15.51,40.55,52.35,41.87,94.23
4/11/2019,Texas,3.46,0.00,0.42,0.29,3.88,0.29,4.18
4/12/2019,Texas,112.91,2.18,60.57,115.07,173.48,117.25,290.73
4/13/2019,Texas,59.33,0.01,0.00,0.06,59.33,0.07,59.40
4/14/2019,Texas,0.94,0.00,0.00,0.00,0.94,0.00,0.94
4/15/2019,Texas,257.51,143.45,47.69,37.39,305.20,180.85,486.05
4/16/2019,Texas,0.66,2.52,0.37,0.55,1.03,3.07,4.10
4/17/2019,Texas,3.01,0.74,1.05,1.99,4.07,2.74,6.80
4/18/2019,Texas,0.00,0.00,0.15,0.01,0.15,0.01,0.16
4/19/2019,Texas,915.93,847.99,97.88,174.13,1013.82,1022.12,2035.93
4/20/2019,Texas,0.48,0.24,1.41,5.36,1.89,5.60,7.49
4/21/2019,Texas,0.89,0.07,0.20,0.70,1.09,0.77,1.86
4/22/2019,Texas,0.00,0.16,0.00,0.00,0.00,0.16,0.16
4/23/2019,Texas,0.30,0.21,0.03,0.14,0.32,0.36,0.68
4/24/2019,Texas,18.88,0.08,0.04,0.00,18.92,0.08,19.00
4/25/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/26/2019,Texas,46.81,0.00,0.70,0.40,47.50,0.40,47.91
4/27/2019,Texas,0.35,0.01,0.82,0.35,1.17,0.35,1.52
4/28/2019,Texas,22.25,179.86,30.15,16.03,52.40,195.89,248.29
4/29/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
4/30/2019,Texas,20.53,267.35,22.82,28.73,43.35,296.08,339.43
5/1/2019,Texas,8773.49,5962.33,4079.32,5175.31,12852.80,11137.64,23990.44
5/2/2019,Texas,1.30,0.01,0.00,0.08,1.30,0.09,1.40
5/3/2019,Texas,109.73,0.16,0.95,0.19,110.68,0.35,111.03
5/4/2019,Texas,0.04,0.66,0.08,0.32,0.12,0.98,1.10
5/5/2019,Texas,26.83,0.33,1.56,3.86,28.40,4.19,32.59
5/6/2019,Texas,188.37,56.77,3.32,3.16,191.69,59.93,251.61
5/7/2019,Texas,278.81,295.14,32.89,49.54,311.71,344.68,656.39
5/8/2019,Texas,2.39,0.00,0.12,0.00,2.51,0.00,2.51
5/9/2019,Texas,7.73,15.17,1.71,0.90,9.43,16.07,25.50
5/10/2019,Texas,69.03,6.36,1.28,0.45,70.31,6.81,77.12
5/11/2019,Texas,0.01,0.00,0.04,0.10,0.05,0.10,0.14
5/12/2019,Texas,2.79,0.00,0.08,0.02,2.87,0.02,2.89
5/13/2019,Texas,4.15,2.99,6.86,41.83,11.01,44.82,55.83
5/14/2019,Texas,6.35,446.96,9.16,2.39,15.51,449.35,464.87
5/15/2019,Texas,0.44,3.61,3.00,3.14,3.44,6.75,10.19
5/16/2019,Texas,160.77,114.19,124.32,21.76,285.09,135.95,421.04
5/17/2019,Texas,2.04,0.09,5.26,0.38,7.30,0.47,7.77
5/18/2019,Texas,0.64,0.00,0.13,0.23,0.77,0.24,1.00
5/19/2019,Texas,0.17,0.00,0.42,0.43,0.59,0.43,1.02
5/20/2019,Texas,1.18,19.41,0.26,0.14,1.43,19.55,20.98
5/21/2019,Texas,0.63,0.01,2.51,0.24,3.14,0.25,3.39
5/22/2019,Texas,581.02,485.16,316.67,123.21,897.69,608.37,1506.06
5/23/2019,Texas,0.18,0.02,0.00,0.00,0.18,0.02,0.20
5/24/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
5/25/2019,Texas,0.22,0.01,0.14,0.01,0.36,0.02,0.38
5/26/2019,Texas,2.18,0.03,0.00,0.15,2.18,0.18,2.36
5/27/2019,Texas,86.29,308.80,184.25,220.20,270.54,529.00,799.54
5/28/2019,Texas,8.97,0.90,0.05,0.14,9.02,1.04,10.06
5/29/2019,Texas,102.26,0.42,37.76,180.28,140.02,180.69,320.71
5/30/2019,Texas,144.93,100.60,45.59,10.20,190.52,110.80,301.32
5/31/2019,Texas,29.73,2.09,0.01,0.05,29.73,2.14,31.87
6/1/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/2/2019,Texas,16.42,19.31,18.95,1.85,35.37,21.16,56.53
6/3/2019,Texas,3.30,25.23,0.86,1.15,4.16,26.38,30.54
6/4/2019,Texas,69.05,1.04,1.07,0.88,70.12,1.91,72.04
6/5/2019,Texas,0.00,0.07,0.04,0.00,0.04,0.07,0.12
6/6/2019,Texas,1.18,0.00,60.92,0.00,62.11,0.00,62.11
6/7/2019,Texas,0.02,3.76,0.00,0.05,0.02,3.80,3.82
6/8/2019,Texas,13.25,1.66,1.21,2.36,14.46,4.02,18.48
6/9/2019,Texas,8.27,87.22,11.95,2.62,20.22,89.83,110.06
6/10/2019,Texas,661.45,2343.37,619.95,296.52,1281.39,2639.89,3921.28
6/11/2019,Texas,1.77,0.01,0.00,0.01,1.77,0.02,1.79
6/12/2019,Texas,121.64,270.09,154.69,738.98,276.33,1009.07,1285.39
6/13/2019,Texas,0.07,0.02,0.09,0.04,0.16,0.06,0.21
6/14/2019,Texas,14.41,7.03,0.74,0.31,15.15,7.34,22.49
6/15/2019,Texas,583.11,0.01,0.10,0.00,583.21,0.01,583.22
6/16/2019,Texas,5.74,33.62,3.69,1.47,9.43,35.09,44.51
6/17/2019,Texas,2.68,2.03,1.02,0.10,3.70,2.13,5.83
6/18/2019,Texas,490.35,3.37,2.27,5.77,492.62,9.14,501.76
6/19/2019,Texas,0.00,0.00,0.08,0.00,0.08,0.00,0.09
6/20/2019,Texas,169.92,526.31,45.91,24.46,215.83,550.77,766.60
6/21/2019,Texas,2.66,5.81,0.31,4.16,2.97,9.98,12.95
6/22/2019,Texas,24.08,149.14,13.15,4.39,37.23,153.52,190.76
6/23/2019,Texas,368.36,51.64,130.74,288.77,499.09,340.41,839.50
6/24/2019,Texas,0.27,0.04,0.00,0.02,0.27,0.06,0.33
6/25/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6/26/2019,Texas,4.29,0.01,0.13,0.00,4.41,0.01,4.42
6/27/2019,Texas,373.29,1130.14,346.07,154.30,719.36,1284.44,2003.80
6/28/2019,Texas,4.35,1.83,0.21,0.05,4.57,1.88,6.44
6/29/2019,Texas,1548.16,1259.62,1195.49,880.71,2743.65,2140.32,4883.97
6/30/2019,Texas,3.52,0.04,0.66,0.24,4.18,0.28,4.46
7/1/2019,Texas,14.43,0.46,0.09,1.72,14.51,2.18,16.69
7/2/2019,Texas,1.25,0.01,0.04,0.02,1.29,0.03,1.32
7/3/2019,Texas,33.90,6.26,0.93,0.51,34.83,6.77,41.61
7/4/2019,Texas,0.93,0.00,0.67,0.40,1.60,0.40,2.00
7/5/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
7/6/2019,Texas,0.59,0.00,0.09,-0.01,0.68,-0.01,0.67
7/7/2019,Texas,2.44,0.28,0.12,0.05,2.56,0.33,2.89
7/8/2019,Texas,7.66,0.24,0.46,0.11,8.12,0.35,8.47
7/9/2019,Texas,2.15,0.00,0.00,0.05,2.15,0.05,2.20
7/10/2019,Texas,37.59,24.94,3.57,14.58,41.16,39.52,80.67
7/11/2019,Texas,0.00,0.00,0.02,0.02,0.02,0.02,0.04
7/12/2019,Texas,25.24,4.74,0.21,0.57,25.44,5.31,30.75
7/13/2019,Texas,6.67,0.10,0.96,0.13,7.63,0.23,7.86
7/14/2019,Texas,0.06,0.00,0.00,0.00,0.06,0.00,0.06
7/15/2019,Texas,18.67,2.85,0.04,0.11,18.71,2.96,21.67
7/16/2019,Texas,736.25,120.16,326.72,307.54,1062.97,427.70,1490.66
7/17/2019,Texas,1.24,3.99,0.05,0.15,1.30,4.15,5.44
7/18/2019,Texas,2.43,2.18,1.63,5.75,4.06,7.94,12.00
7/19/2019,Texas,0.38,0.79,0.03,0.05,0.41,0.84,1.24
7/20/2019,Texas,2.21,63.64,3.70,3.01,5.91,66.66,72.57
7/21/2019,Texas,930.96,785.54,79.40,93.27,1010.36,878.81,1889.17
7/22/2019,Texas,53.53,216.42,40.18,135.11,93.71,351.53,445.24
7/23/2019,Texas,25.61,106.10,15.90,5.66,41.51,111.76,153.27
7/24/2019,Texas,617.70,482.88,492.72,185.34,1110.42,668.23,1778.65
7/25/2019,Texas,0.00,0.00,0.00,0.02,0.00,0.02,0.02
7/26/2019,Texas,4.42,0.00,0.87,1.28,5.29,1.28,6.57
7/27/2019,Texas,162.82,3.77,2.48,7.77,165.30,11.55,176.85
7/28/2019,Texas,1.17,2.40,6.80,0.65,7.96,3.05,11.01
7/29/2019,Texas,415.87,876.89,52.12,59.62,467.99,936.51,1404.50
7/30/2019,Texas,32.49,5.40,1.52,0.57,34.01,5.97,39.98
7/31/2019,Texas,90.56,11.06,0.53,1.64,91.09,12.70,103.79
8/1/2019,Texas,2938.39,3139.53,755.50,168.80,3693.90,3308.33,7002.22
8/2/2019,Texas,6.23,3.21,2.34,2.91,8.57,6.12,14.69
8/3/2019,Texas,0.31,0.02,0.24,0.14,0.55,0.16,0.71
8/4/2019,Texas,5.61,9.85,10.48,12.74,16.09,22.59,38.68
8/5/2019,Texas,8.79,0.12,2.49,4.92,11.28,5.04,16.32
8/6/2019,Texas,0.28,0.00,0.04,0.00,0.32,0.00,0.32
8/7/2019,Texas,0.17,0.00,0.32,0.14,0.49,0.14,0.62
8/8/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
8/9/2019,Texas,73.53,472.52,10.21,0.92,83.74,473.44,557.18
8/10/2019,Texas,0.61,0.75,2.61,0.39,3.22,1.14,4.36
8/11/2019,Texas,1.21,0.90,0.82,0.48,2.02,1.38,3.40
8/12/2019,Texas,1.62,4.58,1.54,2.41,3.16,6.99,10.15
8/13/2019,Texas,13.57,1.06,0.34,0.69,13.91,1.76,15.67
8/14/2019,Texas,3.37,0.00,0.00,0.10,3.37,0.10,3.47
8/15/2019,Texas,0.00,0.26,0.35,0.69,0.35,0.95,1.30
8/16/2019,Texas,282.28,48.95,31.01,12.28,313.29,61.22,374.51
8/17/2019,Texas,0.60,0.00,0.04,0.10,0.64,0.10,0.74
8/18/2019,Texas,0.00,0.00,0.11,0.05,0.11,0.05,0.16
8/19/2019,Texas,17.03,14.61,0.87,0.62,17.90,15.23,33.14
8/20/2019,Texas,0.65,5.98,2.10,0.73,2.75,6.71,9.46
8/21/2019,Texas,11.21,4.32,0.75,0.19,11.97,4.50,16.47
8/22/2019,Texas,73.89,0.02,0.28,0.05,74.17,0.07,74.24
8/23/2019,Texas,75.83,96.49,1.70,1.36,77.53,97.84,175.37
8/24/2019,Texas,0.06,0.18,58.84,0.75,58.90,0.93,59.82
8/25/2019,Texas,0.82,0.24,0.11,0.10,0.93,0.33,1.26
8/26/2019,Texas,0.01,0.07,0.00,0.00,0.01,0.07,0.08
8/27/2019,Texas,0.84,0.95,0.00,0.25,0.84,1.20,2.04
8/28/2019,Texas,2.54,0.31,1.68,0.10,4.21,0.41,4.62
8/29/2019,Texas,0.01,0.83,0.30,0.51,0.32,1.34,1.66
8/30/2019,Texas,7.60,0.05,0.05,0.29,7.64,0.34,7.98
8/31/2019,Texas,25.56,1.79,2.20,2.53,27.77,4.32,32.09
9/1/2019,Texas,20.03,0.23,0.89,0.39,20.92,0.62,21.53
9/2/2019,Texas,6.27,0.85,5.51,2.68,11.77,3.53,15.30
9/3/2019,Texas,4.02,0.00,0.36,0.10,4.38,0.10,4.48
9/4/2019,Texas,4.90,0.00,0.04,0.00,4.94,0.00,4.94
9/5/2019,Texas,0.24,0.01,0.01,0.00,0.25,0.01,0.25
9/6/2019,Texas,0.00,0.00,0.18,0.00,0.18,0.00,0.18
9/7/2019,Texas,5.36,4.19,1.79,0.82,7.15,5.00,12.15
9/8/2019,Texas,79.12,1.45,1.26,2.14,80.39,3.59,83.98
9/9/2019,Texas,20.75,0.02,0.52,1.19,21.27,1.20,22.47
9/10/2019,Texas,0.07,0.46,0.26,0.39,0.33,0.85,1.19
9/11/2019,Texas,282.96,234.31,23.42,19.74,306.38,254.06,560.44
9/12/2019,Texas,986.20,2241.50,170.23,161.18,1156.43,2402.67,3559.11
9/13/2019,Texas,12.25,0.26,0.17,0.23,12.42,0.49,12.91
9/14/2019,Texas,1.14,0.16,0.51,0.77,1.65,0.93,2.58
9/15/2019,Texas,149.38,1.70,59.53,25.18,208.91,26.89,235.80
9/16/2019,Texas,0.64,0.05,0.02,0.07,0.66,0.13,0.79
9/17/2019,Texas,10.38,0.03,1.86,10.33,12.24,10.35,22.59
9/18/2019,Texas,335.17,29.96,0.67,0.49,335.84,30.44,366.28
9/19/2019,Texas,27.81,1.50,0.10,0.38,27.90,1.88,29.78
9/20/2019,Texas,847.64,433.98,122.59,140.21,970.22,574.19,1544.41
9/21/2019,Texas,43.13,46.90,25.28,5.21,68.41,52.11,120.52
9/22/2019,Texas,11.67,0.95,10.38,4.69,22.05,5.65,27.70
9/23/2019,Texas,1.11,8.84,0.54,1.58,1.64,10.42,12.06
9/24/2019,Texas,0.00,174.08,0.00,0.00,0.00,174.08,174.08
9/25/2019,Texas,99.71,27.39,10.32,1.70,110.03,29.09,139.12
9/26/2019,Texas,42.36,0.78,0.86,0.51,43.22,1.29,44.51
9/27/2019,Texas,171.57,43.69,2.52,5.03,174.09,48.72,222.81
9/28/2019,Texas,178.14,3.19,65.76,23.33,243.90,26.52,270.42
9/29/2019,Texas,206.98,12.79,68.06,23.35,275.04,36.14,311.18
9/30/2019,Texas,750.34,116.56,96.98,89.77,847.32,206.33,1053.65
10/1/2019,Texas,68.35,60.12,3.72,3.65,72.08,63.77,135.85
10/2/2019,Texas,24.87,93.35,11.46,5.81,36.33,99.16,135.49
10/3/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/4/2019,Texas,1.61,0.04,0.10,0.05,1.71,0.09,1.80
10/5/2019,Texas,2.85,15.23,0.22,0.00,3.06,15.23,18.30
10/6/2019,Texas,34.03,25.62,3.84,2.40,37.87,28.02,65.89
10/7/2019,Texas,0.43,0.00,0.32,0.49,0.75,0.49,1.24
10/8/2019,Texas,0.98,0.41,0.10,0.05,1.08,0.46,1.54
10/9/2019,Texas,31.57,530.03,6.63,3.98,38.20,534.01,572.21
10/10/2019,Texas,14.22,0.01,0.63,0.92,14.85,0.93,15.77
10/11/2019,Texas,10.60,13.88,2.94,1.91,13.54,15.79,29.34
10/12/2019,Texas,0.07,1.30,0.00,0.00,0.07,1.30,1.38
10/13/2019,Texas,240.24,505.47,48.52,11.94,288.76,517.41,806.17
10/14/2019,Texas,0.04,0.06,0.52,0.40,0.56,0.46,1.02
10/15/2019,Texas,754.09,763.25,113.95,10.22,868.04,773.47,1641.51
10/16/2019,Texas,29.94,6.35,12.99,10.79,42.93,17.14,60.07
10/17/2019,Texas,4.66,0.05,0.15,0.18,4.81,0.23,5.03
10/18/2019,Texas,45.75,0.11,0.65,0.43,46.40,0.54,46.94
10/19/2019,Texas,62.03,295.63,41.35,10.52,103.38,306.15,409.53
10/20/2019,Texas,1010.43,1989.43,331.17,1184.26,1341.60,3173.69,4515.29
10/21/2019,Texas,0.00,0.00,0.19,0.00,0.19,0.00,0.19
10/22/2019,Texas,8.22,12.71,2.33,1.03,10.55,13.75,24.30
10/23/2019,Texas,0.48,63.63,5.15,1.07,5.62,64.70,70.33
10/24/2019,Texas,4.05,0.23,0.04,0.00,4.09,0.23,4.32
10/25/2019,Texas,0.00,0.04,0.00,0.07,0.00,0.11,0.11
10/26/2019,Texas,22.20,0.77,0.31,0.14,22.51,0.91,23.42
10/27/2019,Texas,0.01,0.01,0.14,0.00,0.15,0.01,0.15
10/28/2019,Texas,0.23,0.26,0.78,0.00,1.01,0.26,1.27
10/29/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/30/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
10/31/2019,Texas,5.36,14.11,0.04,0.11,5.41,14.22,19.62
11/1/2019,Texas,2.58,0.06,0.00,0.05,2.58,0.10,2.69
11/2/2019,Texas,13.42,0.08,7.59,6.44,21.01,6.51,27.52
11/3/2019,Texas,0.00,0.17,0.65,0.22,0.65,0.39,1.04
11/4/2019,Texas,0.23,0.00,0.17,0.98,0.39,0.98,1.37
11/5/2019,Texas,1.91,0.00,0.00,0.10,1.91,0.10,2.01
11/6/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/7/2019,Texas,1.03,0.23,0.08,0.00,1.10,0.23,1.34
11/8/2019,Texas,789.94,1680.91,174.22,213.21,964.16,1894.12,2858.28
11/9/2019,Texas,0.08,0.00,0.00,0.05,0.08,0.05,0.12
11/10/2019,Texas,0.01,0.11,0.60,0.56,0.62,0.66,1.28
11/11/2019,Texas,2.08,0.53,0.92,3.99,3.00,4.52,7.52
11/12/2019,Texas,0.18,0.01,0.00,0.00,0.18,0.01,0.19
11/13/2019,Texas,4.77,6.51,0.07,0.15,4.85,6.65,11.50
11/14/2019,Texas,55.23,2.66,56.22,59.73,111.45,62.39,173.84
11/15/2019,Texas,127.63,139.41,4.64,15.34,132.27,154.75,287.02
11/16/2019,Texas,53.58,0.91,0.65,0.82,54.23,1.73,55.96
11/17/2019,Texas,7.55,0.02,2.37,1.05,9.92,1.07,10.99
11/18/2019,Texas,1011.13,735.64,126.05,40.28,1137.18,775.92,1913.10
11/19/2019,Texas,5.76,12.55,0.59,1.73,6.35,14.28,20.64
11/20/2019,Texas,14.51,7.96,5.29,45.34,19.80,53.29,73.09
11/21/2019,Texas,0.89,0.40,0.84,0.75,1.72,1.15,2.87
11/22/2019,Texas,0.00,0.01,1.37,1.23,1.37,1.24,2.61
11/23/2019,Texas,4704.33,5676.13,2467.39,2075.80,7171.72,7751.93,14923.65
11/24/2019,Texas,15.21,2.06,3.20,1.30,18.41,3.36,21.77
11/25/2019,Texas,5.64,0.04,0.17,0.23,5.80,0.27,6.08
11/26/2019,Texas,0.04,0.00,0.00,0.00,0.04,0.00,0.04
11/27/2019,Texas,1.82,0.01,0.00,0.00,1.82,0.01,1.82
11/28/2019,Texas,115.62,0.16,0.71,3.30,116.33,3.46,119.80
11/29/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
11/30/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/1/2019,Texas,548.10,473.62,72.53,47.16,620.64,520.77,1141.41
12/2/2019,Texas,34.99,1.95,19.67,47.45,54.67,49.40,104.07
12/3/2019,Texas,2.88,0.00,0.59,0.37,3.47,0.37,3.84
12/4/2019,Texas,103.05,2.90,78.05,135.14,181.10,138.03,319.14
12/5/2019,Texas,83.08,0.01,0.05,0.05,83.13,0.06,83.19
12/6/2019,Texas,1.17,0.00,0.00,0.00,1.17,0.00,1.17
12/7/2019,Texas,198.11,142.32,50.92,48.73,249.03,191.05,440.08
12/8/2019,Texas,2.04,1.86,0.48,0.59,2.52,2.44,4.97
12/9/2019,Texas,5.60,1.63,2.00,2.16,7.60,3.79,11.39
12/10/2019,Texas,0.00,0.07,0.32,0.30,0.32,0.36,0.69
12/11/2019,Texas,832.99,425.57,129.37,174.39,962.36,599.96,1562.33
12/12/2019,Texas,0.40,0.11,0.61,4.72,1.02,4.83,5.84
12/13/2019,Texas,2.60,0.02,0.14,0.14,2.74,0.16,2.90
12/14/2019,Texas,0.08,0.19,0.05,0.00,0.13,0.19,0.33
12/15/2019,Texas,0.14,0.37,0.00,0.15,0.14,0.53,0.66
12/16/2019,Texas,15.16,0.08,0.05,0.11,15.21,0.20,15.41
12/17/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/18/2019,Texas,31.80,0.00,0.35,0.36,32.14,0.36,32.51
12/19/2019,Texas,0.31,5.84,0.88,0.25,1.20,6.10,7.29
12/20/2019,Texas,25.31,190.38,26.16,16.54,51.47,206.92,258.39
12/21/2019,Texas,0.00,0.00,0.00,0.00,0.00,0.00,0.00
12/22/2019,Texas,21.24,190.62,25.83,30.10,47.08,220.73,267.80
12/23/2019,Texas,8339.52,5952.38,4533.10,5269.94,12872.62,11222.32,24094.94
12/24/2019,Texas,0.99,0.02,0.06,0.11,1.05,0.13,1.18
12/25/2019,Texas,80.06,0.08,0.25,0.20,80.31,0.28,80.59
12/26/2019,Texas,0.27,1.76,0.00,0.10,0.27,1.86,2.14
12/27/2019,Texas,24.05,0.30,1.30,3.63,25.35,3.93,29.28
12/28/2019,Texas,213.39,87.81,13.81,2.38,227.20,90.19,317.39
12/29/2019,Texas,240.92,307.76,38.18,58.57,279.11,366.33,645.44
12/30/2019,Texas,0.83,0.00,0.05,0.00,0.88,0.00,0.88
