transportation_data,duration_data,location_data,payment_data
706,Plane,47.0,Rural,Cash
707,Car,140.0,Rural,Cash
708,Car,293.0,City,Mobile Payment
709,Car,147.0,Rural,Debit Card
710,Car,147.0,Suburbs,Cash
711,Plane,10.0,Suburbs,Credit Card
712,Plane,8.0,Suburbs,Debit Card
713,Bus,69.0,Suburbs,Mobile Payment
714,Train,100.0,Suburbs,Cash
715,Car,103.0,Suburbs,Credit Card
716,Train,192.0,Rural,Credit Card
717,Car,192.0,Suburbs,Credit Card
718,Plane,111.0,Rural,Mobile Payment
719,Bus,146.0,City,Mobile Payment
720,Train,6.0,Suburbs,Debit Card
721,Car,63.0,City,Credit Card
722,Bike,95.0,Rural,Cash
723,Bus,77.0,Suburbs,Mobile Payment
724,Plane,181.0,Rural,Credit Card
725,Plane,99.0,Rural,Credit Card
726,Plane,83.0,Rural,Debit Card
727,Bike,122.0,City,Debit Card
728,Bus,116.0,City,Credit Card
729,Train,179.0,Rural,Mobile Payment
730,Bus,152.0,Suburbs,Credit Card
731,Bus,113.0,Rural,Debit Card
732,Car,40.0,Rural,Credit Card
733,Bus,160.0,Rural,Mobile Payment
734,Train,103.0,Rural,Cash
735,Train,115.0,City,Mobile Payment
736,Bike,80.0,Suburbs,Cash
737,Plane,83.0,City,Debit Card
738,Bike,87.0,Suburbs,Mobile Payment
739,Train,99.0,Rural,Credit Card
740,Car,161.0,Rural,Cash
741,Car,143.0,Rural,Debit Card
742,Plane,122.0,Suburbs,Debit Card
743,Car,149.0,City,Cash
744,Bus,65.0,Suburbs,Cash
745,Train,166.0,Suburbs,Credit Card
746,Bike,28.0,City,Cash
747,Train,248.0,Rural,Credit Card
748,Plane,95.0,City,Mobile Payment
749,Car,87.0,Rural,Mobile Payment
750,Bike,130.0,City,Debit Card
751,Car,57.0,Rural,Cash
752,Bus,224.0,City,Debit Card
753,Bus,30.0,Rural,Cash
754,Train,152.0,Rural,Mobile Payment
755,Train,123.0,City,Credit Card
756,Car,64.0,Suburbs,Debit Card
757,Car,173.0,Rural,Cash
758,Plane,118.0,Suburbs,Debit Card
759,Bus,143.0,City,Mobile Payment
760,Car,64.0,Suburbs,Credit Card
761,Plane,177.0,City,Mobile Payment
762,Train,15.0,Rural,Cash
763,Bus,117.0,City,Credit Card
764,Plane,81.0,City,Debit Card
765,Bike,56.0,City,Credit Card
766,Train,4.0,City,Mobile Payment
767,Train,139.0,City,Debit Card
768,Bus,55.0,City,Cash
769,Bike,132.0,Suburbs,Mobile Payment
770,Bus,120.0,Rural,Mobile Payment
771,Bus,95.0,Rural,Debit Card
772,Car,149.0,Rural,Credit Card
773,Train,140.0,Rural,Credit Card
774,Bike,152.0,Rural,Debit Card
775,Bus,72.0,Rural,Mobile Payment
776,Plane,157.0,Suburbs,Credit Card
777,Bike,139.0,Suburbs,Mobile Payment
778,Plane,52.0,Rural,Cash
779,Car,120.0,City,Credit Card
780,Plane,36.0,Suburbs,Credit Card
781,Car,157.0,Rural,Debit Card
782,Car,217.0,City,Credit Card
783,Car,195.0,City,Mobile Payment
784,Car,81.0,City,Mobile Payment
785,Plane,102.0,Suburbs,Mobile Payment
786,Train,154.0,City,Mobile Payment
787,Train,166.0,Rural,Debit Card
788,Train,217.0,Suburbs,Debit Card
789,Train,88.0,City,Mobile Payment
790,Train,110.0,Rural,Mobile Payment
791,Train,157.0,Rural,Mobile Payment
792,Train,24.0,Suburbs,Credit Card
793,Car,62.0,Suburbs,Credit Card
794,Car,58.0,City,Credit Card
795,Train,109.0,City,Cash
796,Bike,94.0,Suburbs,Debit Card
797,Train,103.0,City,Credit Card
798,Car,70.0,Suburbs,Mobile Payment
799,Car,27.0,Rural,Debit Card
800,Train,155.0,Suburbs,Mobile Payment
801,Bike,223.0,City,Credit Card
802,Plane,139.0,Suburbs,Credit Card
803,Bus,228.0,City,Debit Card
804,Train,131.0,City,Mobile Payment
805,Plane,141.0,City,Mobile Payment
806,Bike,123.0,City,Debit Card
807,Bus,91.0,Rural,Cash
808,Bike,208.0,Rural,Debit Card
809,Bus,18.0,Suburbs,Credit Card
810,Bus,127.0,Rural,Cash
811,Train,182.0,Rural,Cash
812,Plane,218.0,Rural,Credit Card
813,Bike,159.0,City,Cash
814,Train,87.0,City,Debit Card
815,Car,135.0,City,Cash
816,Plane,31.0,Suburbs,Cash
817,Bus,164.0,Suburbs,Mobile Payment
818,Car,5.0,City,Debit Card
819,Train,86.0,Rural,Debit Card
820,Car,231.0,Rural,Credit Card
821,Bus,140.0,Rural,Credit Card
822,Bike,84.0,Rural,Credit Card
823,Plane,67.0,City,Credit Card
824,Bus,139.0,City,Credit Card
825,Car,72.0,City,Credit Card
826,Plane,105.0,City,Mobile Payment
827,Train,123.0,Rural,Debit Card
828,Plane,97.0,City,Credit Card
829,Bus,85.0,Rural,Mobile Payment
830,Bus,115.0,Suburbs,Cash
831,Car,117.0,City,Cash
832,Bike,129.0,Rural,Credit Card
833,Bus,117.0,Rural,Credit Card
834,Car,34.0,Rural,Mobile Payment
835,Bike,135.0,Suburbs,Cash
836,Train,93.0,Rural,Debit Card
837,Train,247.0,City,Credit Card
838,Car,145.0,Suburbs,Credit Card
839,Car,195.0,Suburbs,Debit Card
840,Bus,126.0,Suburbs,Credit Card
841,Car,166.0,City,Credit Card
842,Plane,98.0,Suburbs,Cash
843,Train,162.0,Rural,Debit Card
844,Plane,124.0,City,Cash
845,Train,79.0,Rural,Cash
846,Bike,159.0,Rural,Mobile Payment
847,Car,148.0,Suburbs,Cash
848,Bike,131.0,City,Debit Card
849,Train,68.0,City,Credit Card
850,Car,115.0,City,Credit Card
851,Plane,137.0,Suburbs,Cash
852,Plane,136.0,Rural,Debit Card
853,Plane,80.0,Suburbs,Debit Card
854,Plane,84.0,Rural,Mobile Payment
855,Bike,44.0,Suburbs,Credit Card
856,Train,47.0,Rural,Cash
857,Bus,30.0,Rural,Credit Card
858,Train,239.0,Suburbs,Cash
859,Plane,168.0,Rural,Cash
860,Bus,160.0,Suburbs,Mobile Payment
861,Train,232.0,City,Mobile Payment
862,Bike,6.0,Suburbs,Mobile Payment
863,Car,129.0,City,Mobile Payment
864,Plane,50.0,Suburbs,Debit Card
865,Bus,128.0,Suburbs,Debit Card
866,Plane,66.0,Suburbs,Debit Card
867,Car,204.0,Rural,Credit Card
868,Bike,194.0,Rural,Credit Card
869,Plane,125.0,Suburbs,Debit Card
870,Car,99.0,Suburbs,Debit Card
871,Bus,36.0,City,Credit Card
872,Car,40.0,City,Mobile Payment
873,Car,26.0,City,Debit Card
874,Bike,114.0,Suburbs,Credit Card
875,Bus,119.0,City,Mobile Payment
876,Bike,85.0,Rural,Debit Card
877,Car,217.0,Suburbs,Debit Card
878,Bus,133.0,Rural,Cash
879,Plane,73.0,City,Debit Card
880,Car,155.0,City,Mobile Payment
881,Bike,130.0,City,Credit Card
882,Bus,52.0,Rural,Cash
883,Train,139.0,City,Mobile Payment
884,Plane,190.0,Suburbs,Mobile Payment
885,Bus,9.0,City,Cash
886,Plane,20.0,City,Mobile Payment
887,Train,146.0,Suburbs,Credit Card
888,Bus,30.0,Rural,Credit Card
889,Train,107.0,City,Mobile Payment
890,Plane,159.0,Suburbs,Mobile Payment
891,Train,107.0,Rural,Mobile Payment
892,Bus,67.0,City,Debit Card
893,Plane,80.0,City,Debit Card
894,Bus,56.0,City,Debit Card
895,Plane,142.0,Suburbs,Mobile Payment
896,Bike,147.0,Rural,Debit Card
897,Car,127.0,Suburbs,Credit Card
898,Train,139.0,Rural,Cash
899,Bike,102.0,Rural,Mobile Payment
900,Bus,138.0,Suburbs,Credit Card
901,Train,39.0,Rural,Mobile Payment
902,Train,117.0,Suburbs,Cash
903,Bike,31.0,Suburbs,Debit Card
904,Train,124.0,Suburbs,Credit Card
905,Bus,34.0,Suburbs,Debit Card
906,Car,99.0,Suburbs,Debit Card
907,Bus,86.0,Suburbs,Cash
908,Plane,233.0,Rural,Mobile Payment
909,Bike,86.0,City,Mobile Payment
910,Bike,178.0,Suburbs,Debit Card
911,Car,247.0,Suburbs,Debit Card
912,Train,88.0,City,Credit Card
913,Car,183.0,City,Credit Card
914,Bus,24.0,Suburbs,Debit Card
915,Bike,233.0,Rural,Cash
916,Car,158.0,City,Credit Card
917,Bus,192.0,Rural,Cash
918,Plane,105.0,Suburbs,Credit Card
919,Bike,139.0,City,Credit Card
920,Bike,53.0,Suburbs,Cash
921,Train,11.0,Rural,Credit Card
922,Bike,193.0,Suburbs,Mobile Payment
923,Car,95.0,City,Credit Card
924,Bike,71.0,City,Cash
925,Train,211.0,Rural,Cash
926,Bike,131.0,Suburbs,Credit Card
927,Bus,100.0,City,Credit Card
928,Bus,168.0,Suburbs,Debit Card
929,Bike,196.0,City,Credit Card
930,Plane,227.0,City,Credit Card
931,Bus,22.0,Suburbs,Credit Card
932,Bus,199.0,City,Debit Card
933,Plane,120.0,Suburbs,Debit Card
934,Plane,129.0,Suburbs,Mobile Payment
935,Train,189.0,Suburbs,Cash
936,Car,90.0,Suburbs,Credit Card
937,Car,159.0,Rural,Cash
938,Bike,211.0,Suburbs,Mobile Payment
939,Train,129.0,Suburbs,Debit Card
940,Car,63.0,Rural,Credit Card
941,Bike,120.0,City,Debit Card
942,Car,189.0,City,Debit Card
943,Bus,106.0,Rural,Debit Card
944,Plane,133.0,Rural,Cash
945,Train,90.0,City,Debit Card
946,Train,124.0,Suburbs,Cash
947,Train,172.0,City,Debit Card
948,Plane,53.0,City,Credit Card
949,Bus,135.0,Suburbs,Debit Card
950,Bike,219.0,Rural,Credit Card
951,Bus,168.0,City,Cash
952,Bike,138.0,Rural,Credit Card
953,Bike,119.0,City,Mobile Payment
954,Plane,128.0,Suburbs,Credit Card
955,Train,86.0,Suburbs,Cash
956,Bike,108.0,City,Credit Card
957,Car,25.0,Suburbs,Cash
958,Train,316.0,Suburbs,Credit Card
959,Train,148.0,Rural,Mobile Payment
960,Train,165.0,Suburbs,Debit Card
961,Bike,56.0,Suburbs,Credit Card
962,Train,171.0,City,Debit Card
963,Bus,161.0,City,Debit Card
964,Train,130.0,Suburbs,Mobile Payment
965,Car,88.0,City,Credit Card
966,Bus,214.0,Rural,Cash
967,Bike,60.0,City,Mobile Payment
968,Bike,69.0,Rural,Mobile Payment
969,Plane,110.0,City,Mobile Payment
970,Bike,101.0,Rural,Mobile Payment
971,Plane,84.0,Rural,Debit Card
972,Bus,54.0,City,Cash
973,Car,87.0,Rural,Credit Card
974,Plane,145.0,City,Mobile Payment
975,Plane,86.0,City,Debit Card
976,Bus,160.0,Rural,Debit Card
977,Bus,199.0,Rural,Debit Card
978,Train,3.0,City,Cash
979,Train,88.0,Rural,Credit Card
980,Car,91.0,Suburbs,Credit Card
981,Plane,39.0,Suburbs,Cash
982,Bike,116.0,City,Mobile Payment
983,Train,194.0,City,Debit Card
984,Car,93.0,Rural,Cash
985,Bus,35.0,City,Cash
986,Bike,70.0,Suburbs,Cash
987,Bus,73.0,City,Mobile Payment
988,Train,171.0,Rural,Debit Card
989,Plane,171.0,City,Cash
990,Bus,30.0,Rural,Cash
991,Train,137.0,City,Debit Card
992,Car,131.0,City,Credit Card
993,Plane,108.0,City,Cash
994,Plane,36.0,Rural,Debit Card
995,Bus,75.0,Suburbs,Debit Card
996,Plane,59.0,City,Mobile Payment
997,Bike,125.0,City,Cash
998,Car,122.0,Rural,Mobile Payment
999,Bus,175.0,City,Debit Card
