Year,State,Income($),Percent_Total,Num_Households
821,California,67076.55,65.38%,817075
822,California,72926.07,20.19%,337911
823,California,65125.13,6.93%,371840
824,California,1031.46,1.61%,853779
825,California,105361.84,4.66%,347835
826,California,82679.99,20.51%,263073
827,California,110775.16,46.38%,424233
828,California,3718.24,53.30%,606553
829,California,110288.58,47.63%,922358
830,California,41873.74,11.90%,955234
831,California,38871.23,96.25%,231919
832,California,81907.17,33.69%,115888
833,California,24902.03,25.21%,743344
834,California,101472.12,89.35%,207392
835,California,8426.13,34.89%,572775
836,California,65356.85,55.76%,714738
837,California,52664.00,98.72%,747464
838,California,112697.57,41.84%,81331
839,California,54045.59,8.15%,329104
840,California,1950.72,91.20%,89921
841,California,47006.94,80.05%,487631
842,California,44581.08,82.35%,792363
843,California,86535.86,66.96%,672857
844,California,5369.82,16.01%,365691
845,California,56058.21,64.43%,584576
846,California,10948.40,86.06%,303824
847,California,50888.50,40.90%,278843
848,California,5402.99,22.01%,610062
849,California,45202.80,38.03%,265045
850,California,12346.41,84.85%,946130
851,California,6843.29,76.36%,121723
852,California,48076.31,54.47%,669365
853,California,3316.41,61.98%,399694
854,California,34940.90,16.23%,599391
855,California,122925.72,39.06%,977982
856,California,108569.08,96.46%,664599
857,California,17188.86,72.15%,745413
858,California,25828.49,59.18%,831836
859,California,72372.46,19.25%,859477
860,California,51780.96,4.74%,750964
861,California,17337.37,66.19%,148977
862,California,27228.76,51.60%,394027
863,California,72195.65,12.53%,454844
864,California,55177.80,51.79%,677248
865,California,64472.70,34.53%,829609
866,California,94507.10,16.11%,140409
867,California,104579.50,59.45%,490676
868,California,32370.20,66.26%,599837
869,California,36333.38,9.88%,564749
870,California,34026.32,53.18%,679612
871,California,72559.31,30.27%,116016
872,California,34811.10,67.38%,616937
873,California,50070.15,67.20%,574112
874,California,6958.89,49.15%,18837
875,California,81381.72,37.45%,624539
876,California,108260.74,3.20%,427687
877,California,117148.35,34.75%,945328
878,California,78006.53,15.32%,804549
879,California,51394.28,98.21%,891155
880,California,119338.79,91.38%,843892
881,California,17861.87,36.42%,119546
882,California,121204.15,61.71%,989606
883,California,16514.17,76.27%,669857
884,California,30929.16,94.47%,858215
885,California,30118.06,11.80%,951909
886,California,50868.90,83.84%,309844
887,California,100600.34,83.20%,346348
888,California,114145.51,46.30%,639206
889,California,48788.82,15.85%,40074
890,California,95631.74,57.75%,180624
891,California,68568.26,14.21%,354240
892,California,99905.87,14.98%,594221
893,California,30708.72,29.84%,727313
894,California,20347.96,90.19%,624432
895,California,26340.08,43.09%,826940
896,California,40248.15,90.56%,33039
897,California,13027.48,34.39%,909621
898,California,89272.92,60.35%,841767
899,California,23818.53,60.00%,966197
900,California,24496.21,8.98%,513878
901,California,40305.34,49.71%,246983
902,California,78073.48,50.25%,556185
903,California,12630.40,26.57%,896936
904,California,73164.59,29.07%,964960
905,California,35113.06,75.08%,140480
906,California,100191.95,2.66%,957997
907,California,65978.53,45.17%,576773
908,California,95989.91,43.56%,534422
909,California,65661.12,20.84%,161903
910,California,39914.76,17.06%,474795
911,California,11415.81,11.46%,268776
912,California,41739.72,3.79%,760202
913,California,81510.31,25.96%,897698
914,California,93797.75,48.39%,471436
915,California,95891.65,68.16%,687641
916,California,86063.98,59.21%,138360
917,California,65860.19,16.03%,415756
918,California,32907.74,17.48%,3914
919,California,68885.22,69.89%,528447
920,California,49760.33,1.78%,949756
921,California,65278.45,29.43%,242274
922,California,29825.19,54.86%,773191
923,California,109041.61,26.41%,44817
924,California,87269.35,28.46%,34736
925,California,99085.37,65.94%,581546
926,California,113146.34,11.85%,847251
927,California,11679.73,52.01%,548914
928,California,31138.42,60.59%,885797
929,California,27153.33,40.26%,605940
930,California,112311.24,78.16%,385876
931,California,66018.53,51.38%,875908
932,California,84777.92,55.32%,447368
933,California,56519.18,4.28%,822280
934,California,45811.04,65.93%,156774
935,California,69498.79,94.73%,946257
936,California,2053.20,92.48%,518877
937,California,73902.39,12.03%,351861
938,California,32787.72,81.30%,855328
939,California,30116.22,93.95%,536752
940,California,80291.89,66.29%,815484
941,California,109380.24,74.00%,903005
942,California,89361.76,21.01%,395732
943,California,25587.78,93.84%,741310
944,California,4300.78,22.44%,174276
945,California,103635.65,27.28%,975448
946,California,24485.37,91.41%,104404
947,California,60905.91,14.60%,33308
948,California,9929.57,86.15%,570275
949,California,121791.53,3.07%,552026
950,California,101535.83,52.94%,72839
951,California,43902.03,20.78%,245615
952,California,77956.44,15.72%,487787
953,California,17747.39,78.01%,683635
954,California,2239.20,12.49%,770156
955,California,74648.74,67.82%,478067
956,California,101315.71,24.84%,515117
957,California,42935.60,44.73%,369155
958,California,9359.98,14.34%,438289
959,California,56484.94,37.56%,919364
960,California,23717.07,38.19%,187823
961,California,14818.55,84.80%,66061
962,California,122876.17,73.32%,318995
963,California,2713.75,3.12%,653269
964,California,76043.81,86.18%,799495
965,California,39653.97,42.49%,499720
966,California,79027.18,60.01%,395185
967,California,109083.88,38.02%,335843
968,California,107997.22,49.66%,432996
969,California,48094.08,38.31%,872409
970,California,97843.76,99.13%,550558
971,California,63368.42,3.27%,877703
972,California,26286.36,16.35%,58429
973,California,26054.87,19.37%,862446
974,California,84131.92,56.16%,517774
975,California,90672.43,3.20%,763971
976,California,36916.53,20.87%,197903
977,California,39055.18,34.18%,811726
978,California,83402.23,72.87%,834327
979,California,66916.19,41.15%,583416
980,California,118538.49,40.56%,820349
981,California,50752.93,42.56%,734406
982,California,48573.47,63.41%,816203
983,California,118984.91,56.26%,167408
984,California,40371.29,79.34%,567217
985,California,110684.20,2.75%,613249
986,California,74831.92,31.00%,180209
987,California,100512.66,74.79%,784907
988,California,33930.24,74.06%,802759
989,California,72670.78,96.79%,136259
990,California,103459.80,99.79%,367594
991,California,88087.75,47.13%,311748
992,California,81395.62,15.43%,194470
993,California,36558.88,29.13%,945015
994,California,120619.78,83.74%,259600
995,California,63707.15,86.56%,365200
996,California,33826.70,47.07%,193287
997,California,36502.69,12.38%,132594
998,California,79734.83,48.31%,130669
999,California,57870.29,14.92%,964848
1000,California,102192.95,2.35%,568026
1001,California,74856.11,28.56%,704578
1002,California,105800.42,92.87%,268166
1003,California,60999.05,54.05%,206120
1004,California,123233.02,74.25%,344808
1005,California,48762.36,82.02%,432868
1006,California,24303.37,93.47%,872678
1007,California,84899.97,24.52%,649139
1008,California,72932.56,92.42%,471580
1009,California,74320.81,55.04%,554429
1010,California,23154.12,1.36%,641389
1011,California,68955.36,49.13%,568851
1012,California,99492.24,49.01%,824206
1013,California,108513.00,60.77%,791300
1014,California,119081.63,59.15%,698890
1015,California,10814.24,80.95%,144543
1016,California,3695.18,47.31%,820721
1017,California,36271.90,25.71%,827689
1018,California,95235.46,11.93%,431689
1019,California,24545.12,21.52%,18307
1020,California,91086.57,45.96%,246360
1021,California,114476.64,21.27%,168822
1022,California,4210.65,98.67%,930000
1023,California,73694.40,3.05%,77339
1024,California,48469.16,15.56%,109721
1025,California,65181.51,96.01%,884838
1026,California,122207.44,78.78%,330072
1027,California,33305.56,79.12%,404724
1028,California,25578.13,13.37%,721950
1029,California,48664.31,29.69%,965794
1030,California,59053.95,45.90%,352960
1031,California,50102.04,98.04%,786481
1032,California,114263.94,56.68%,493394
1033,California,1811.28,81.75%,464786
1034,California,110702.47,4.43%,313953
1035,California,41373.62,86.92%,338938
1036,California,14126.68,80.86%,386165
1037,California,67988.87,43.08%,80121
1038,California,90469.75,11.67%,827043
1039,California,20052.63,83.76%,104249
1040,California,94296.97,90.83%,107177
1041,California,28769.72,56.91%,271498
1042,California,55041.59,15.94%,234041
1043,California,44892.88,37.58%,266109
1044,California,90161.49,25.17%,561043
1045,California,102030.18,73.23%,719596
1046,California,22311.86,38.19%,446677
1047,California,96871.75,22.67%,83170
1048,California,19565.52,99.85%,883331
1049,California,5976.32,72.91%,102039
1050,California,80492.40,28.60%,96014
1051,California,108794.39,49.81%,510663
1052,California,76276.04,77.83%,168519
1053,California,36987.42,92.24%,174345
1054,California,112509.89,66.23%,107800
1055,California,3007.24,45.47%,813926
1056,California,74460.85,47.08%,870809
1057,California,117953.98,3.11%,290000
1058,California,55577.71,74.21%,47194
1059,California,13293.26,48.92%,336294
1060,California,15824.64,46.59%,64082
1061,California,10719.81,40.77%,346160
1062,California,71085.03,42.14%,363433
1063,California,122039.53,67.11%,337882
1064,California,119126.63,31.60%,937219
1065,California,18883.39,26.36%,747254
1066,California,3616.90,88.21%,493674
1067,California,17093.14,67.42%,377598
1068,California,57450.79,4.22%,749158
1069,California,5010.18,95.84%,442606
1070,California,95789.45,99.16%,44379
1071,California,120787.44,99.07%,850867
1072,California,89223.35,72.08%,450405
1073,California,107924.41,29.43%,619901
1074,California,69449.84,78.30%,927078
1075,California,22748.64,75.19%,86570
1076,California,92174.56,90.38%,887268
1077,California,60359.36,49.55%,584814
1078,California,41321.40,32.26%,659879
1079,California,6752.95,5.81%,955737
1080,California,11029.32,78.41%,970240
1081,California,62389.77,33.71%,126330
1082,California,107881.17,27.59%,97657
1083,California,62939.30,61.25%,877585
1084,California,92736.48,15.24%,840226
1085,California,77859.72,0.68%,653831
1086,California,14162.89,75.93%,699236
1087,California,74860.51,59.87%,613852
1088,California,57348.44,47.91%,661902
1089,California,77541.84,41.20%,802954
1090,California,99004.12,64.02%,157457
1091,California,114872.14,31.03%,595262
1092,California,78444.09,28.46%,991564
1093,California,44670.20,89.34%,175567
1094,California,58779.80,50.18%,460283
1095,California,89944.23,90.52%,197958
1096,California,44145.76,63.19%,31579
1097,California,49853.85,41.28%,683727
1098,California,122711.62,67.83%,528019
1099,California,30376.89,33.36%,523408
1100,California,74093.25,87.68%,633398
1101,California,57966.10,60.73%,416104
1102,California,113124.16,13.16%,602337
1103,California,107341.70,14.36%,833122
1104,California,109999.65,56.18%,809841
1105,California,94769.25,94.62%,325483
1106,California,29138.91,82.83%,885654
1107,California,21425.76,91.53%,415669
1108,California,17252.11,39.21%,167468
1109,California,46394.82,17.46%,142651
1110,California,52357.92,45.51%,795094
1111,California,58059.91,90.66%,169512
1112,California,29812.32,30.80%,891576
1113,California,17459.04,85.67%,582027
1114,California,48134.48,34.36%,737669
1115,California,3859.65,75.20%,123940
1116,California,64934.46,20.15%,477574
1117,California,95035.44,59.48%,440526
1118,California,38417.73,83.97%,498415
1119,California,38984.09,73.84%,688792
1120,California,23938.80,48.96%,770457
1121,California,93650.05,84.65%,118950
1122,California,49890.24,34.07%,251077
1123,California,19631.97,10.79%,536491
1124,California,24163.82,34.43%,620754
1125,California,118198.39,19.15%,891840
1126,California,123393.04,9.96%,376519
1127,California,95475.23,22.49%,95773
1128,California,37657.23,95.31%,429025
1129,California,114910.36,26.08%,413518
1130,California,118725.59,43.38%,715063
1131,California,27620.39,31.72%,734898
1132,California,92667.84,17.13%,391956
1133,California,983.05,97.58%,291240
1134,California,70085.27,27.23%,321420
1135,California,108200.47,55.37%,205126
1136,California,93347.21,33.33%,910460
1137,California,113917.15,15.25%,593628
1138,California,86218.85,69.37%,599767
1139,California,63402.17,57.57%,500997
1140,California,87594.39,61.04%,840763
1141,California,55331.47,93.42%,793209
1142,California,120333.31,17.79%,296385
1143,California,23962.73,73.15%,764028
1144,California,81566.30,88.03%,894075
1145,California,64362.47,48.95%,336052
1146,California,101315.10,34.99%,162746
1147,California,80995.85,11.37%,198861
1148,California,32002.34,95.87%,24982
1149,California,44514.02,94.89%,685531
1150,California,8033.10,0.94%,135049
1151,California,1376.73,23.36%,440041
1152,California,23653.35,16.11%,846448
1153,California,23723.89,94.95%,984745
1154,California,46576.17,59.12%,120728
1155,California,30378.57,47.90%,664072
1156,California,114085.49,12.09%,395126
1157,California,76331.88,11.68%,477348
1158,California,121417.69,87.13%,799207
1159,California,88203.57,65.03%,270937
1160,California,111310.86,49.48%,239874
1161,California,120622.01,18.54%,798215
1162,California,39593.44,93.30%,39553
1163,California,60495.24,94.52%,231813
1164,California,70497.44,71.87%,606883
1165,California,45058.57,86.51%,421017
1166,California,90013.68,20.62%,543763
1167,California,67824.82,79.72%,333198
1168,California,89650.72,64.22%,403450
1169,California,49579.65,70.44%,572323
1170,California,62175.69,69.89%,665918
1171,California,47118.78,10.48%,545343
1172,California,38795.79,28.33%,2806
1173,California,11037.70,11.10%,43588
1174,California,31882.78,43.61%,261728
1175,California,102518.54,55.94%,509455
1176,California,46450.43,7.66%,143626
1177,California,96991.61,78.80%,4583
1178,California,118490.38,20.41%,608875
1179,California,3237.47,83.13%,753136
1180,California,59913.23,98.79%,102861
1181,California,110226.86,89.00%,871841
1182,California,66288.77,12.72%,33166
1183,California,103988.48,35.52%,598994
1184,California,21644.70,88.22%,505468
1185,California,85124.80,48.57%,228117
1186,California,85633.81,48.50%,65844
1187,California,104050.20,27.03%,68450
1188,California,81347.30,43.84%,577573
1189,California,41538.75,84.03%,588087
1190,California,92069.45,65.48%,289994
1191,California,20532.23,28.49%,353256
1192,California,66021.05,82.13%,620363
1193,California,91525.44,69.27%,686637
1194,California,96490.98,20.73%,50100
1195,California,107396.37,26.09%,645823
1196,California,76897.89,20.99%,938942
1197,California,115704.19,75.44%,88555
1198,California,42472.41,32.49%,485948
1199,California,913.84,26.33%,508534
1200,California,32582.84,54.22%,910608
1201,California,74181.64,73.70%,867951
1202,California,66668.56,14.21%,221030
1203,California,38809.08,72.65%,848814
1204,California,2339.42,19.33%,415654
1205,California,67074.17,71.15%,873220
1206,California,52531.70,71.96%,486539
1207,California,118350.67,88.48%,635033
1208,California,12630.23,39.59%,43678
1209,California,5358.53,35.39%,959685
1210,California,121575.91,40.25%,759167
1211,California,54236.38,57.51%,92179
1212,California,110299.94,46.16%,436845
1213,California,109164.12,53.35%,678415
1214,California,120322.82,63.38%,123283
1215,California,115150.75,70.03%,473738
1216,California,33790.83,55.83%,557478
1217,California,93310.64,22.54%,373599
1218,California,119862.40,52.42%,295093
1219,California,9515.85,48.45%,200287
1220,California,22045.32,23.29%,13116
1221,California,55677.41,55.55%,245052
1222,California,15435.69,93.07%,416920
1223,California,6772.02,3.75%,565319
1224,California,11353.38,20.79%,451147
1225,California,60118.69,26.53%,358724
1226,California,92445.83,49.83%,26056
1227,California,118255.16,71.62%,449598
1228,California,51857.53,38.71%,783822
1229,California,120780.73,66.83%,838105
1230,California,4131.69,32.79%,768815
1231,California,28787.69,1.60%,494726
1232,California,104071.43,4.06%,692540
1233,California,50101.28,67.86%,464412
1234,California,111338.19,33.34%,85518
1235,California,72174.73,10.54%,505994
1236,California,32966.18,74.80%,779263
1237,California,43081.18,93.37%,56072
1238,California,39204.90,87.99%,816516
1239,California,101264.82,34.41%,59168
1240,California,17175.47,23.37%,528656
1241,California,14662.42,3.14%,697646
1242,California,86366.71,87.83%,949130
1243,California,87401.68,48.34%,711722
1244,California,20175.53,13.77%,84814
1245,California,113080.66,24.53%,17774
1246,California,17230.53,47.34%,849745
1247,California,11948.57,3.20%,472273
1248,California,115149.03,74.13%,29267
1249,California,64167.61,98.60%,203798
1250,California,40040.63,5.77%,670987
1251,California,104302.56,79.63%,156408
1252,California,26145.65,20.41%,914522
1253,California,22095.41,54.66%,575747
1254,California,106212.37,48.85%,467070
1255,California,10763.99,51.21%,372803
1256,California,59125.72,7.34%,198820
1257,California,1864.81,57.98%,553196
1258,California,47081.39,2.60%,173663
1259,California,72158.34,72.97%,519457
1260,California,116226.28,43.10%,271006
1261,California,102490.02,78.33%,48758
1262,California,1328.88,14.54%,797143
1263,California,38763.10,53.11%,153028
1264,California,19828.60,81.64%,356308
1265,California,83249.45,19.19%,20567
1266,California,122558.30,23.43%,152522
1267,California,24778.85,65.77%,943022
1268,California,61447.99,90.41%,208031
1269,California,94673.75,49.26%,317377
1270,California,100140.09,5.81%,831094
1271,California,68133.95,83.12%,454507
1272,California,41729.56,53.58%,480218
1273,California,107182.58,82.16%,296080
1274,California,123304.42,77.18%,489820
1275,California,16214.52,88.73%,658114
1276,California,42359.62,63.40%,775716
1277,California,58201.42,64.49%,760466
1278,California,19175.59,1.54%,489944
1279,California,38025.73,14.78%,455347
1280,California,115386.08,9.52%,751937
1281,California,112959.41,35.98%,624713
1282,California,62207.79,26.42%,36497
1283,California,67857.90,62.01%,835975
1284,California,8599.10,87.37%,734776
1285,California,112519.48,48.81%,282551
1286,California,63835.50,52.24%,563214
1287,California,92878.55,36.11%,722907
1288,California,38620.78,31.75%,757970
1289,California,2571.73,26.66%,526118
1290,California,85941.40,81.02%,101203
1291,California,71882.74,73.66%,985057
1292,California,70109.26,49.77%,174399
1293,California,17952.06,16.93%,819532
1294,California,116929.48,29.47%,86629
1295,California,60854.99,39.94%,276145
1296,California,83349.51,74.62%,1027
1297,California,103408.32,66.50%,266845
1298,California,50529.06,70.25%,109084
1299,California,94394.89,38.98%,72519
1300,California,81283.31,69.04%,86605
1301,California,92818.79,99.23%,428743
1302,California,37719.33,84.19%,299931
1303,California,5827.08,58.79%,507907
1304,California,71888.70,88.15%,253426
1305,California,76107.10,34.02%,660283
1306,California,120519.68,42.44%,842186
1307,California,74137.67,31.87%,416382
1308,California,87260.78,10.21%,432265
1309,California,104190.11,21.95%,47185
1310,California,110632.67,99.04%,346862
1311,California,106086.04,72.16%,558566
1312,California,107769.67,58.41%,795505
1313,California,93362.11,94.95%,277596
1314,California,65138.75,23.22%,61496
1315,California,51751.62,6.04%,974557
1316,California,114280.06,50.38%,977850
1317,California,73912.66,94.44%,853909
1318,California,17189.56,37.10%,942824
1319,California,88873.48,36.70%,49866
1320,California,94993.02,46.50%,716588
1321,California,34829.74,56.97%,339480
1322,California,11036.11,29.85%,825060
1323,California,104798.94,48.51%,809657
1324,California,91049.69,57.99%,523443
1325,California,58108.38,9.53%,511185
1326,California,110978.77,18.79%,746655
1327,California,92095.77,33.30%,414055
1328,California,9863.11,81.80%,916784
1329,California,98314.58,34.83%,10002
1330,California,21856.12,49.28%,725553
1331,California,1996.02,3.31%,171581
1332,California,35130.33,57.39%,750056
1333,California,60013.22,88.85%,319015
1334,California,2842.98,72.69%,885553
1335,California,13002.32,9.54%,263804
1336,California,63793.31,8.97%,395724
1337,California,21554.56,20.01%,339367
1338,California,17661.78,18.80%,598149
1339,California,86041.30,38.11%,299130
1340,California,95912.21,49.19%,602486
1341,California,22736.50,42.18%,610727
1342,California,19422.16,65.61%,532611
1343,California,1743.31,18.33%,734972
1344,California,41467.85,22.34%,440242
1345,California,72397.08,52.85%,338957
1346,California,91799.16,73.43%,319456
1347,California,114412.47,20.31%,201456
1348,California,55892.78,94.91%,275552
1349,California,43845.58,31.00%,859797
1350,California,2754.31,99.21%,540736
1351,California,66172.11,78.31%,597616
1352,California,119013.60,2.95%,229411
1353,California,90867.70,67.90%,509860
1354,California,20080.10,95.92%,618757
1355,California,58573.06,87.28%,617440
1356,California,18260.18,68.14%,321920
1357,California,118742.50,98.91%,4380
1358,California,98330.57,39.86%,425027
1359,California,36643.65,68.65%,784156
1360,California,123108.44,16.61%,926128
1361,California,106656.77,3.49%,923855
1362,California,16616.60,56.78%,901935
1363,California,97536.35,52.55%,873303
1364,California,116722.88,48.35%,657502
1365,California,115708.57,71.74%,413040
1366,California,1630.59,8.07%,791268
1367,California,42993.89,48.94%,286157
1368,California,67354.87,47.89%,592491
1369,California,72344.09,18.19%,844583
1370,California,71149.55,3.17%,12912
1371,California,34617.37,35.89%,898940
1372,California,3716.09,85.15%,45815
1373,California,17381.95,9.69%,230003
1374,California,108188.69,69.58%,639709
1375,California,12403.23,8.15%,235700
1376,California,7014.20,10.71%,423993
1377,California,33925.61,63.44%,909577
1378,California,108979.04,21.62%,488967
1379,California,63707.94,30.73%,752116
1380,California,55901.40,68.73%,845771
1381,California,58532.15,58.09%,663602
1382,California,87200.80,33.35%,244903
1383,California,33878.85,94.28%,125797
1384,California,96952.93,34.73%,388543
1385,California,12845.09,45.08%,881949
1386,California,89133.18,55.34%,782796
1387,California,110970.96,9.49%,40161
1388,California,12668.46,50.71%,553385
1389,California,50666.75,89.10%,120976
1390,California,120236.96,75.07%,396798
1391,California,33812.48,22.62%,869790
1392,California,74212.91,41.23%,857302
1393,California,88199.76,68.73%,948932
1394,California,68192.82,78.90%,325176
1395,California,68325.05,93.44%,244950
1396,California,13088.21,17.95%,588434
1397,California,113672.49,62.60%,286055
1398,California,11044.30,54.50%,612444
1399,California,72389.77,10.51%,306700
1400,California,13147.70,21.10%,554258
1401,California,23347.83,52.62%,275210
1402,California,66201.34,38.20%,724835
1403,California,16381.60,99.86%,431206
1404,California,68810.61,41.42%,766968
1405,California,17623.06,33.37%,986958
1406,California,63945.97,52.79%,932717
1407,California,22102.02,84.52%,184390
1408,California,74578.66,28.41%,936531
1409,California,33301.26,97.24%,777016
1410,California,103180.17,60.40%,708991
1411,California,122626.50,90.05%,36421
1412,California,4069.27,20.61%,508967
1413,California,106185.30,23.90%,247718
1414,California,74468.85,21.27%,732679
1415,California,13461.97,76.22%,505877
1416,California,53458.20,45.47%,834675
1417,California,54956.11,37.29%,143493
1418,California,104629.36,75.46%,171100
1419,California,50254.75,94.08%,878761
1420,California,11674.20,13.32%,718239
1421,California,47312.45,80.78%,567481
1422,California,49990.59,65.27%,585839
1423,California,90452.40,16.53%,426767
1424,California,58316.06,22.23%,800255
1425,California,64593.56,28.18%,112616
1426,California,40445.58,85.43%,57241
1427,California,92634.66,84.24%,628539
1428,California,56993.58,72.97%,40203
1429,California,27679.20,38.97%,217870
1430,California,6890.94,99.36%,684708
1431,California,55763.93,52.06%,461499
1432,California,108116.32,99.79%,463885
1433,California,78593.05,41.79%,697056
1434,California,57717.75,8.10%,609220
1435,California,45313.12,28.19%,342278
1436,California,44428.68,13.20%,80715
1437,California,76707.26,80.64%,853427
1438,California,28931.36,93.66%,86011
1439,California,116621.31,74.24%,147917
1440,California,122015.64,95.15%,834427
1441,California,122222.14,4.80%,707470
1442,California,8629.95,12.40%,710617
1443,California,94540.70,81.04%,980209
1444,California,35486.69,64.44%,629156
1445,California,74532.58,17.66%,617905
1446,California,45795.00,22.54%,593058
1447,California,66851.70,5.18%,127730
1448,California,115701.11,53.14%,884046
1449,California,93761.39,9.75%,644857
1450,California,3053.69,41.85%,869960
1451,California,37786.96,20.72%,464538
1452,California,35797.67,85.98%,998790
1453,California,96606.16,84.55%,201520
1454,California,114151.87,68.75%,493140
1455,California,113851.20,66.30%,237257
1456,California,9308.30,67.46%,516033
1457,California,101174.91,70.81%,210829
1458,California,73652.97,41.81%,720312
1459,California,4654.83,58.81%,231219
1460,California,100076.85,27.43%,847737
1461,California,99709.49,50.07%,413990
1462,California,47876.33,67.07%,754984
1463,California,51011.44,33.44%,290508
1464,California,42359.33,51.04%,182916
1465,California,22241.34,87.50%,943734
1466,California,61064.14,45.46%,424572
1467,California,92093.05,1.92%,811163
1468,California,642.14,18.02%,991401
1469,California,117137.69,17.49%,767299
1470,California,43626.55,55.98%,355696
1471,California,54009.61,81.47%,611282
1472,California,107463.73,86.44%,141865
1473,California,9389.09,48.84%,59011
1474,California,37339.77,21.52%,577875
1475,California,115709.74,50.59%,945141
1476,California,107090.42,67.43%,383229
1477,California,31843.15,0.59%,906120
1478,California,92286.23,63.74%,744219
1479,California,66918.35,25.11%,107243
1480,California,75781.85,32.33%,184668
1481,California,115105.98,79.88%,950423
1482,California,81853.08,21.13%,849260
1483,California,51631.45,54.41%,186007
1484,California,111528.11,93.97%,754545
1485,California,18966.29,13.81%,376878
1486,California,62680.43,70.06%,487545
1487,California,16232.28,90.31%,346329
1488,California,42972.64,40.02%,302928
1489,California,77975.70,65.38%,136288
1490,California,63539.33,38.41%,726200
1491,California,121313.76,98.74%,79941
1492,California,26754.27,19.72%,235319
1493,California,70338.06,47.00%,339411
1494,California,103624.25,7.14%,933103
1495,California,12388.21,6.69%,63782
1496,California,70606.74,37.01%,296582
1497,California,16420.23,69.03%,978199
1498,California,120609.74,41.49%,840634
1499,California,17256.59,41.44%,905261
1500,California,25862.50,15.19%,675567
1501,California,34925.05,42.09%,534134
1502,California,22175.16,83.34%,505287
1503,California,53991.16,39.11%,821003
1504,California,2388.61,84.66%,233378
1505,California,59009.57,21.59%,810123
1506,California,106416.60,56.01%,509070
1507,California,67949.77,8.98%,79692
1508,California,69867.57,77.33%,538141
1509,California,116322.44,28.81%,293281
1510,California,51438.77,46.09%,171868
1511,California,87113.27,96.54%,200143
1512,California,46719.70,96.03%,763020
1513,California,56489.97,59.51%,558593
1514,California,11551.02,77.73%,172870
1515,California,81816.54,27.22%,418962
1516,California,109568.74,13.71%,218719
1517,California,66963.84,16.24%,156533
1518,California,82189.82,72.60%,831716
1519,California,49699.52,68.06%,48225
1520,California,64428.61,4.90%,588714
1521,California,81574.99,31.61%,555008
1522,California,122293.64,10.75%,646638
1523,California,97719.37,53.09%,273011
1524,California,56839.66,33.84%,567693
1525,California,29008.12,87.27%,37463
1526,California,120585.17,67.43%,339709
1527,California,61188.78,64.76%,55423
1528,California,94897.14,32.97%,31081
1529,California,21933.45,45.76%,143468
1530,California,75571.70,95.84%,562434
1531,California,81393.33,0.28%,761130
1532,California,52199.36,83.92%,774912
1533,California,58246.23,56.93%,282632
1534,California,27798.66,97.11%,977829
1535,California,62022.29,46.64%,186874
1536,California,39203.50,10.51%,556165
1537,California,113082.25,48.61%,107292
1538,California,54810.28,96.11%,454172
1539,California,51406.93,22.68%,972644
1540,California,90886.11,32.66%,496357
1541,California,41970.26,47.63%,180394
1542,California,39709.58,3.17%,590176
1543,California,105546.28,28.98%,338472
1544,California,76431.81,40.92%,448635
1545,California,46315.76,56.25%,158521
1546,California,118605.61,68.28%,441772
1547,California,115152.00,36.52%,209742
1548,California,110262.17,98.33%,972131
1549,California,98981.71,33.34%,451599
1550,California,117283.49,56.82%,580159
1551,California,106585.77,47.71%,349334
1552,California,101255.13,45.01%,729169
1553,California,105730.45,13.20%,133821
1554,California,34636.21,47.55%,515385
1555,California,82115.69,98.36%,491973
1556,California,66313.97,16.45%,962485
1557,California,106158.08,9.59%,394814
1558,California,99991.25,95.82%,250782
1559,California,87759.10,30.21%,389075
1560,California,101079.73,5.94%,167829
1561,California,117370.58,26.20%,245311
1562,California,15269.28,7.87%,911403
1563,California,108706.12,40.86%,784606
1564,California,32448.04,64.41%,999225
1565,California,4691.49,66.54%,395372
1566,California,18271.67,21.51%,211965
1567,California,52830.03,14.36%,458040
1568,California,82047.84,43.27%,51802
1569,California,73051.47,94.42%,758645
1570,California,105453.90,76.26%,551178
1571,California,3754.04,83.13%,482165
1572,California,52210.37,99.08%,31816
1573,California,26543.74,1.29%,288071
1574,California,40180.15,75.60%,947260
1575,California,21061.04,88.33%,828320
1576,California,21415.89,86.66%,749466
1577,California,88726.67,42.06%,978620
1578,California,7210.38,86.63%,378624
1579,California,100557.74,48.96%,877194
1580,California,89312.80,5.00%,959803
1581,California,57184.87,67.42%,117692
1582,California,3586.40,30.29%,398268
1583,California,119932.61,36.20%,225192
1584,California,111099.28,94.68%,708339
1585,California,45621.74,83.25%,101613
1586,California,20619.05,24.53%,958822
1587,California,57351.19,5.40%,743756
1588,California,91501.05,81.89%,540796
1589,California,116606.78,96.00%,179490
1590,California,120904.54,68.87%,811018
1591,California,103896.42,74.32%,544742
1592,California,16173.61,20.49%,822410
1593,California,64508.58,32.80%,567301
1594,California,64158.16,83.11%,555771
1595,California,6229.58,1.67%,857517
1596,California,475.94,19.34%,834197
1597,California,25194.49,12.01%,27767
1598,California,28673.74,4.45%,911516
1599,California,89652.82,1.36%,749505
1600,California,103452.78,50.42%,962361
1601,California,22184.12,96.91%,776612
1602,California,107463.07,97.87%,694130
1603,California,5182.94,18.22%,113205
1604,California,35240.41,72.04%,5819
1605,California,50316.45,24.69%,46222
1606,California,91883.70,83.31%,378031
